dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
11/11/1990,11. nov.,1990,Erling Kullberg; Jens Johansen,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,pop/rock/beat,koncert
11/11/1990,11. nov.,1990,Ketil Haugsand,Helsingør Teater (DGB),Viborgvej 2,"56.159094,10.1893967",56.159094,10.1893967,klassisk,koncert
11/11/1990,11. nov.,1990,Karmel Koret (dir. Jensen Madsen),Borum Kirke,Borum Byvej 4A,"56.1870797,10.0073858",56.1870797,10.0073858,klassisk,musikgudstjeneste
11/11/1990,11. nov.,1990,Landsbykoret; Thorsagerkoret; Rosenholmstrygerne,Hornslet Kirke,Rodskovvej 2,"56.3129459,10.3178819",56.3129459,10.3178819,klassisk,koncert
11/11/1990,11. nov.,1990,Gwyn Hodgson,Skt. Johannes Kirke,Peter Sabroes Gade 20,"56.1691206,10.2077047",56.1691206,10.2077047,klassisk,koncert
11/11/1990,11. nov.,1990,Trio Danica,Ravnsbjergkirken,Grøfthøjparken 1,"56.1228999,10.1414984",56.1228999,10.1414984,klassisk,koncert
11/11/1990,11. nov.,1990,Club Kronstadt,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,pop/rock/beat,koncert
11/11/1990,11. nov.,1990,Paul Banks & Steen Vig,Æsken,Anholtsgade 4,"56.1611307,10.2062178",56.1611307,10.2062178,N/A,koncert
06/11/1995,6. nov.,1995,Katrine Madsens Swingquintet,Jazzbar Bent J,Nørre Allé 66,"56.1598911,10.2008777",56.1598911,10.2008777,jazz,koncert
06/11/1995,6. nov.,1995,Klüvers Big Band,Svalegangen,Rosenkrantzgade 21,"56.1520354,10.2035812",56.1520354,10.2035812,jazz,koncert
06/11/1995,6. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
06/11/1995,6. nov.,1995,Den jyske Opera,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,musikteater,forestilling
06/11/1995,6. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
07/11/1995,7. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
07/11/1995,7. nov.,1995,Dans med døden,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,N/A,koncert
07/11/1995,7. nov.,1995,Paul Lamb and the Kingsnakes,Glazzhuset,Åboulevarden 25,"56.1554238,10.2066651",56.1554238,10.2066651,jazz,koncert
07/11/1995,7. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
07/11/1995,7. nov.,1995,Den jyske Opera,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,musikteater,forestilling
08/11/1995,8. nov.,1995,Cæcilie Norby,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,jazz,koncert
08/11/1995,8. nov.,1995,Erik Larsen,Café Flinstone Pub,Rosenkrantzgade 20,"56.1523293,10.20356",56.1523293,10.20356,N/A,koncert
08/11/1995,8. nov.,1995,Punkt 22,Casino Bar,Skolegade 30,"56.1549628,10.2089602",56.1549628,10.2089602,N/A,koncert
08/11/1995,8. nov.,1995,Mac P'sens Band,Glazzhuset,Åboulevarden 25,"56.1554238,10.2066651",56.1554238,10.2066651,jazz,koncert
08/11/1995,8. nov.,1995,Two Smoking Axes,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,jazz,koncert
08/11/1995,8. nov.,1995,N/A,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,N/A,spil til dans
08/11/1995,8. nov.,1995,Ensemble Nord,Det Jyske Musikkonservatorium,Fuglesangs Allé 26,"56.1641171,10.180192",56.1641171,10.180192,klassisk,N/A
08/11/1995,8. nov.,1995,John Damgaard,Århus Folkemusikskole,Vester Allé 3,"56.1532642,10.1982996",56.1532642,10.1982996,klassisk,koncert
08/11/1995,8. nov.,1995,N/A,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,N/A,koncert
08/11/1995,8. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
08/11/1995,8. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
08/11/1995,8. nov.,1995,Spike in town again,Hos Anders,Telefontorvet,"56.1558067,10.2038908",56.1558067,10.2038908,N/A,koncert
09/11/1995,9. nov.,1995,Ramsings Street Paraders,Hydro Texaco,Havkærvej 114,"56.1822898,10.1196626",56.1822898,10.1196626,underholdningsmusik,officiel åbning
09/11/1995,9. nov.,1995,Passion Orange,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,pop/rock/beat,koncert
09/11/1995,9. nov.,1995,Ray Card,Café Flinstone Pub,Rosenkrantzgade 20,"56.1523293,10.20356",56.1523293,10.20356,N/A,koncert
09/11/1995,9. nov.,1995,N/A,Edison,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,N/A,spil til dans
09/11/1995,9. nov.,1995,Djurslands Spillemændene,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,folk/folkemusik/spillemandsmusik,koncert
09/11/1995,9. nov.,1995,Per Rohde P'sens,Glazzhuset,Åboulevarden 25,"56.1554238,10.2066651",56.1554238,10.2066651,folk/folkemusik/spillemandsmusik,jamsession
09/11/1995,9. nov.,1995,Maria Quatro Bossa,Huset,Vester Allé 15,"56.1561067,10.1954298",56.1561067,10.1954298,N/A,koncert
09/11/1995,9. nov.,1995,Anders Bergcrantz and The New Brothers,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,jazz,koncert
09/11/1995,9. nov.,1995,Club SingSing,Maverick's,Skolegyde 8,"56.1564218,10.2094552",56.1564218,10.2094552,pop/rock/beat,N/A
09/11/1995,9. nov.,1995,Funky Elephant,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,ikkevestlig musik,DJ-sæt
09/11/1995,9. nov.,1995,Gospel United,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,N/A,koncert
09/11/1995,9. nov.,1995,Mark Wallaby,Sherlock Holmes Pub,Frederiksgade 76A,"56.1540376,10.2017395",56.1540376,10.2017395,N/A,koncert
